"","Job","University","Freq"
"608","EPAM"," KhNU Karazina CS",0.015625
"609","Freelancer"," KhNU Karazina CS",0
"610","GlobalLogic"," KhNU Karazina CS",0
"611","Indigo"," KhNU Karazina CS",0
"612","Iteazer"," KhNU Karazina CS",0
"613","Lesoft"," KhNU Karazina CS",0
"614","LLC"," KhNU Karazina CS",0
"615","Lohika"," KhNU Karazina CS",0
"616","Luxoft"," KhNU Karazina CS",0
"617","Microsoft"," KhNU Karazina CS",0
"618","Mirantis"," KhNU Karazina CS",0
"619","MMCIS"," KhNU Karazina CS",0
"620","NAS"," KhNU Karazina CS",0
"621","NBU"," KhNU Karazina CS",0
"622","NefteGaz"," KhNU Karazina CS",0
"623","Oracle"," KhNU Karazina CS",0
"624","Playtech"," KhNU Karazina CS",0
"625","PRISM"," KhNU Karazina CS",0
"626","Privat Bank"," KhNU Karazina CS",0
"627","ProCredit Bank"," KhNU Karazina CS",0
"628","Rvuzov"," KhNU Karazina CS",0
"629","Samsung"," KhNU Karazina CS",0
"630","SoftServe"," KhNU Karazina CS",0
"631","Some"," KhNU Karazina CS",0
"632","Taltek"," KhNU Karazina CS",0
"633","Tartu"," KhNU Karazina CS",0
"634","Terrasoft"," KhNU Karazina CS",0
"635","Theorem"," KhNU Karazina CS",0
"636","TNS"," KhNU Karazina CS",0
"637","Ubisoft"," KhNU Karazina CS",0
"638","Viasoft Ltd"," KhNU Karazina CS",0
"639","Vlasov"," KhNU Karazina CS",0
"640","WinInteractive"," KhNU Karazina CS",0
"641","4A Games"," KNEU",0
"642","Agralp"," KNEU",0
"643","Akvelon"," KNEU",0
"644","Alpha Bank"," KNEU",0
"645","Appko"," KNEU",0
"646","Ciklum"," KNEU",0
"647","Cogniance"," KNEU",0
"648","EPAM"," KNEU",0
